customer_id,name,age,gender,city,income,education,occupation,marital_status,signup_date,last_purchase_date,total_purchases,total_spend,satisfaction,phone_raw,purchased
1001,Ivan Krishna,56.0,Other,Hyderabad,42997.0,Diploma,Business,Single,2021-08-17,2021-10-11,5,7788.58,Very Dissatisfied,C01001-PH,1
1002,Aarav Jani,57.0,Other,Vadodara,42447.0,High School,Engineer,Single,2024-01-22,2024-05-20,4,4149.66,Dissatisfied,C01002-PH,1
1003,Taimur Bal,59.0,Other,Mumbai,48754.0,PhD,Business,Divorced,2022-04-22,2023-10-21,7,8526.47,Very Satisfied,C01003-PH,1
1004,Faiyaz Vyas,42.0,Female,Nashik,42096.0,Bachelor's,Engineer,Single,2023-05-10,2024-01-20,4,4616.61,Satisfied,C01004-PH,1
1005,Inaaya  Dutt,31.0,Male,Surat,32822.0,Bachelor's,Doctor,Single,2022-11-28,2023-10-08,4,4381.9,Satisfied,C01005-PH,1
1006,Nitya Dash,35.0,Female,Hyderabad,59386.0,High School,Freelancer,Divorced,2021-07-18,2022-08-19,3,5222.64,Very Dissatisfied,C01006-PH,1
1007,Emir Atwal,57.0,Female,Indore,66087.0,PhD,Business,Divorced,2021-06-11,2023-01-27,6,9777.57,Very Dissatisfied,C01007-PH,1
1008,Elakshi Viswanathan,42.0,Male,Jaipur,69181.0,High School,Business,Single,2021-04-04,2023-03-12,4,6975.5,Satisfied,C01008-PH,1
1009,Rati Shetty,24.0,Other,Indore,50481.0,Diploma,Government,Married,2022-07-24,2023-11-30,5,9411.92,Dissatisfied,C01009-PH,1
1010,Rasha Bains,52.0,Other,Bangalore,35035.0,PhD,Teacher,Divorced,2022-07-01,2024-07-18,7,8834.69,Dissatisfied,C01010-PH,1
1011,Zaina Bajwa,30.0,Female,Hyderabad,57711.0,PhD,Business,Divorced,2021-12-01,2023-04-18,6,7459.74,Neutral,C01011-PH,1
1012,Anaya Mangat,30.0,Male,Lucknow,49557.0,Master's,Student,Single,2021-04-25,2022-01-14,8,8692.52,Dissatisfied,C01012-PH,1
1013,Vritika Tak,45.0,Other,Lucknow,73431.0,Diploma,Freelancer,Married,2024-03-07,2026-09-20,2,2344.24,Satisfied,C01013-PH,0
1014,Inaaya  Dhar,30.0,Male,Coimbatore,17762.0,PhD,Student,Divorced,2022-06-27,2022-12-16,4,5891.04,Very Satisfied,C01014-PH,1
1015,Pari Lall,49.0,Other,Nagpur,,Bachelor's,Business,Single,2023-05-28,2026-01-01,2,3863.74,Very Satisfied,C01015-PH,1
1016,Pranay Chander,56.0,Male,Ahmedabad,24200.0,Diploma,Teacher,Divorced,2021-07-06,2023-09-17,2,2573.49,Satisfied,C01016-PH,0
1017,Faiyaz Wali,19.0,Other,Patna,45001.0,PhD,Student,Divorced,2023-02-28,2024-04-23,7,8805.42,Very Dissatisfied,C01017-PH,1
1018,Fateh Vaidya,34.0,Other,Hyderabad,38685.0,Bachelor's,Doctor,Married,2021-08-23,2023-08-21,5,9960.04,Satisfied,C01018-PH,1
1019,Ela Chadha,23.0,Male,Hyderabad,75482.0,PhD,Teacher,Divorced,2021-11-20,2023-03-29,5,7578.72,Very Dissatisfied,C01019-PH,1
1020,Armaan Korpal,58.0,Other,Rajkot,36821.0,PhD,Business,Single,2022-09-04,2025-02-11,3,6224.9,Neutral,C01020-PH,0
1021,Neelofar Sidhu,40.0,Other,Mumbai,118939.0,PhD,Government,Married,2024-01-10,2026-04-16,4,5992.75,Very Dissatisfied,C01021-PH,1
1022,Rohan Batra,18.0,Female,Jaipur,60424.0,Diploma,Engineer,Single,2021-08-18,2024-04-25,7,11836.38,Very Satisfied,C01022-PH,1
1023,Aarush Venkatesh,25.0,Other,Bhopal,71273.0,High School,Consultant,Single,2021-06-11,2021-10-06,7,12959.41,Dissatisfied,C01023-PH,1
1024,Seher Sha,,Other,Chennai,30988.0,Bachelor's,Consultant,Divorced,2023-09-01,2026-05-27,7,9011.49,Satisfied,C01024-PH,1
1025,Ranbir Khanna,47.0,Other,Surat,52450.0,Bachelor's,Private Job,Divorced,2022-03-10,2024-11-15,8,11764.61,Neutral,C01025-PH,1
1026,Nehmat Samra,52.0,Other,Patna,53913.0,High School,Business,Single,2023-06-17,2026-01-23,8,11162.39,Very Dissatisfied,C01026-PH,1
1027,Nitya Deep,38.0,Other,Coimbatore,41942.0,Diploma,Designer,Single,2022-11-24,2023-01-14,5,4466.2,Very Dissatisfied,C01027-PH,1
1028,Dhanush Bhatt,49.0,Other,Delhi,33455.0,Diploma,Doctor,Single,2021-05-26,2023-06-19,4,7979.21,Neutral,C01028-PH,1
1029,Arhaan Aurora,56.0,Male,Hyderabad,79233.0,Master's,Business,Divorced,2021-05-26,2022-12-03,11,10978.53,Dissatisfied,C01029-PH,1
1030,Aaryahi Kalla,,Female,Kolkata,119803.0,Master's,Private Job,Single,2024-03-15,2025-11-25,6,5772.59,Very Dissatisfied,C01030-PH,1
1031,Azad Mani,32.0,Female,,37230.0,Master's,Private Job,Married,2021-07-18,2023-06-22,4,4530.37,Very Dissatisfied,C01031-PH,1
1032,Nehmat Swaminathan,62.0,Female,Lucknow,46290.0,High School,Business,Single,2021-07-21,2021-10-21,5,3271.96,Dissatisfied,C01032-PH,1
1033,Dhanush Kota,36.0,Male,Vadodara,38837.0,Diploma,Student,Married,2024-01-04,2025-05-07,4,4970.53,Dissatisfied,C01033-PH,1
1034,Miraan Karpe,18.0,Other,Ahmedabad,28268.0,High School,Consultant,Single,2021-06-04,2022-09-30,4,4513.74,Very Dissatisfied,C01034-PH,1
1035,Nitara Keer,22.0,Female,Bhopal,31030.0,Master's,Business,Married,2022-04-30,2022-11-16,3,6665.57,Very Dissatisfied,C01035-PH,0
1036,Siya Konda,31.0,Female,Hyderabad,72665.0,Master's,Student,Married,2023-02-16,2023-03-20,3,4799.84,Very Satisfied,C01036-PH,1
1037,Samaira Virk,22.0,Female,Surat,47275.0,High School,Designer,Divorced,2021-11-14,2022-06-26,3,4686.91,Very Satisfied,C01037-PH,0
1038,Manjari Saxena,62.0,Male,Nashik,49760.0,Master's,Consultant,Divorced,2022-10-05,2023-01-01,10,13304.48,Dissatisfied,C01038-PH,1
1039,Nitya Date,61.0,Male,Chennai,37388.0,High School,Designer,Single,2021-04-27,2022-10-29,3,2850.93,Dissatisfied,C01039-PH,1
1040,Amira Trivedi,43.0,Other,Kolkata,78566.0,PhD,Designer,Single,2021-09-03,2024-05-24,2,2135.47,Very Satisfied,C01040-PH,0
1041,Tejas Dugar,21.0,Other,Nashik,34959.0,PhD,Government,Married,2023-05-09,2025-04-11,5,9816.18,Dissatisfied,C01041-PH,1
1042,Neysa Dutt,41.0,Female,Nagpur,25570.0,Diploma,Student,Married,2022-10-06,2023-07-07,7,4828.0,Neutral,C01042-PH,1
1043,Shayak Andra,34.0,Female,Nashik,47244.0,High School,Doctor,Divorced,2021-05-29,2021-07-07,3,8780.98,Dissatisfied,C01043-PH,1
1044,Ojas Karpe,58.0,Female,Bangalore,45581.0,Diploma,Government,Married,2021-09-29,2024-06-10,5,8960.06,Dissatisfied,C01044-PH,1
1045,Zoya Dass,29.0,Other,Jaipur,89865.0,PhD,Consultant,Single,2023-06-17,2025-11-16,5,3508.35,Very Satisfied,C01045-PH,1
1046,Gokul Ratta,48.0,Other,Ahmedabad,116045.0,Diploma,Student,Single,2022-09-06,2025-05-17,9,13520.62,Very Dissatisfied,C01046-PH,1
1047,Anvi Samra,46.0,Female,Jaipur,29489.0,PhD,Business,Divorced,2024-02-08,2024-08-15,8,4770.14,Neutral,C01047-PH,1
1048,Renee Batra,43.0,Other,Hyderabad,39965.0,PhD,Freelancer,Married,2022-02-21,2024-02-24,8,2896.89,Very Dissatisfied,C01048-PH,1
1049,Tejas Warrior,42.0,Female,Hyderabad,46903.0,High School,Engineer,Married,2021-07-09,2023-05-19,3,4586.51,Dissatisfied,C01049-PH,1
1050,Armaan Manda,38.0,Female,Coimbatore,50483.0,Master's,Consultant,Single,2021-11-27,2024-01-25,3,4327.76,Very Dissatisfied,C01050-PH,0
1051,Abram Kannan,32.0,Male,Indore,133831.0,PhD,Consultant,Single,2021-11-02,2023-06-13,3,2748.98,Satisfied,C01051-PH,0
1052,Anahita Goyal,49.0,Female,Delhi,51012.0,Bachelor's,Business,Divorced,2021-03-27,2022-03-07,2,1999.4,Dissatisfied,C01052-PH,0
1053,Zoya Sankar,53.0,Other,Vadodara,22202.0,PhD,Teacher,Single,2022-12-26,2025-04-02,6,6222.73,Dissatisfied,C01053-PH,1
1054,Parinaaz Gopal,37.0,Female,Mumbai,28677.0,Diploma,Government,Married,2021-12-29,2024-07-18,3,4919.49,Dissatisfied,C01054-PH,1
1055,Hiran Sengupta,22.0,Other,Ahmedabad,31116.0,Master's,Engineer,Married,2021-11-23,2024-03-08,3,6647.19,Dissatisfied,C01055-PH,0
1056,Damini Malhotra,50.0,Female,Kolkata,51774.0,Diploma,Engineer,Divorced,2023-08-01,2024-08-23,6,12381.3,Dissatisfied,C01056-PH,1
1057,Zain Dubey,58.0,Female,Bangalore,27731.0,Bachelor's,Government,Divorced,2023-03-28,2024-03-28,9,9002.81,Very Satisfied,C01057-PH,1
1058,Vihaan Balay,31.0,Other,Lucknow,41120.0,High School,Doctor,Married,2023-03-30,2025-03-24,4,3641.84,Dissatisfied,C01058-PH,1
1059,Aarna Bhargava,48.0,Male,Ahmedabad,62290.0,PhD,Private Job,Married,2024-04-04,2025-01-30,8,7406.05,Neutral,C01059-PH,1
1060,Nayantara Bhatnagar,64.0,Other,Ahmedabad,,Master's,Designer,Single,2023-06-13,2025-03-24,8,8840.36,Neutral,C01060-PH,1
1061,Sana Kara,51.0,Female,Mumbai,58927.0,PhD,Consultant,Divorced,2021-04-01,2023-04-26,8,1716.54,Dissatisfied,C01061-PH,1
1062,Tarini Dubey,41.0,Male,Lucknow,57169.0,PhD,Government,Divorced,2023-01-16,2024-05-01,5,5296.65,Very Dissatisfied,C01062-PH,1
1063,Prisha Karnik,33.0,Female,Vadodara,34114.0,Bachelor's,Private Job,Divorced,2022-09-08,2024-03-10,5,7719.18,Neutral,C01063-PH,1
1064,Miraan Kothari,36.0,Male,Vadodara,43854.0,Master's,Teacher,Divorced,2024-02-10,2024-07-19,2,3645.31,Very Satisfied,C01064-PH,1
1065,Mamooty Dhawan,22.0,Male,Jaipur,29663.0,Bachelor's,Business,Married,2023-04-12,2024-11-23,3,3612.7,Very Satisfied,C01065-PH,1
1066,Samarth Krishna,64.0,Female,Surat,,PhD,Freelancer,Divorced,2023-08-11,2024-12-05,6,8441.94,Dissatisfied,C01066-PH,1
1067,Aaryahi Sehgal,32.0,Other,Lucknow,75801.0,High School,Business,Divorced,2021-06-23,2022-05-09,4,5338.01,Neutral,C01067-PH,1
1068,Ranbir Sani,24.0,Male,Pune,77969.0,High School,Engineer,Single,2022-04-06,2024-08-08,4,6142.07,Satisfied,C01068-PH,1
